date, Inflation Rate (%), Annual Change, 
31-12-2000,3.3769,1.19,
31-12-2001,2.8262,-0.55,
31-12-2002,1.586,-1.24,
31-12-2003,2.2701,0.68,
31-12-2004,2.6772,0.41,
31-12-2005,3.3927,0.72,
31-12-2006,3.2259,-0.17,
31-12-2007,2.8527,-0.37,
31-12-2008,3.8391,0.99,
31-12-2009,-0.3555,-4.19,
31-12-2010,1.64,2,
31-12-2011,3.1568,1.52,
31-12-2012,2.0693,-1.09,
31-12-2013,1.4648,-0.6,
31-12-2014,1.6222,0.16,
31-12-2015,0.1186,-1.5,
31-12-2016,1.2616,1.14,
31-12-2017,2.1301,0.87,
31-12-2018,2.4426,0.31,
31-12-2019,1.8122,-0.63,
31-12-2020,1.2336,-0.58,
31-12-2021,4.6979,3.46,
31-12-2022,8.0028,3.3,
01-01-2023,6.4,,
